author,total_messages,inbound,outbound
AmazonHelp,169840,0,169840
AppleSupport,106860,0,106860
Uber_Support,56270,0,56270
SpotifyCares,43265,0,43265
Delta,42253,0,42253
Tesco,38573,0,38573
AmericanAir,36764,0,36764
TMobileHelp,34317,0,34317
comcastcares,33031,0,33031
British_Airways,29361,0,29361
SouthwestAir,28977,0,28977
VirginTrains,27817,0,27817
Ask_Spectrum,25860,0,25860
XboxSupport,24557,0,24557
sprintcare,22381,0,22381
hulu_support,21872,0,21872
sainsburys,19466,0,19466
GWRHelp,19364,0,19364
AskPlayStation,19098,0,19098
ChipotleTweets,18749,0,18749
