author_id,total_messages,outbound_count,inbound_count,response_ratio,usable_interaction_count
AmazonHelp,169840,169840,0,1.0,169287
AppleSupport,106860,106860,0,1.0,106719
Uber_Support,56270,56270,0,1.0,56261
SpotifyCares,43265,43265,0,1.0,43243
Delta,42253,42253,0,1.0,42197
Tesco,38573,38573,0,1.0,38501
AmericanAir,36764,36764,0,1.0,36598
TMobileHelp,34317,34317,0,1.0,34287
comcastcares,33031,33031,0,1.0,33007
British_Airways,29361,29361,0,1.0,29315
SouthwestAir,28977,28977,0,1.0,28889
VirginTrains,27817,27817,0,1.0,27522
Ask_Spectrum,25860,25860,0,1.0,25807
XboxSupport,24557,24557,0,1.0,24341
sprintcare,22381,22381,0,1.0,22335
hulu_support,21872,21872,0,1.0,21783
sainsburys,19466,19466,0,1.0,19417
GWRHelp,19364,19364,0,1.0,19294
AskPlayStation,19098,19098,0,1.0,18694
ChipotleTweets,18749,18749,0,1.0,18612
VerizonSupport,17966,17966,0,1.0,17851
UPSHelp,17817,17817,0,1.0,17772
ATVIAssist,17650,17650,0,1.0,17531
O2,16212,16212,0,1.0,16091
idea_cares,15724,15724,0,1.0,15617
Safaricom_Care,16077,16077,0,1.0,15471
AskTarget,13218,13218,0,1.0,13218
AirAsiaSupport,12829,12829,0,1.0,12735
BofA_Help,12683,12683,0,1.0,12654
ArgosHelpers,12174,12174,0,1.0,12053
AskLyft,11809,11809,0,1.0,11795
SW_Help,12231,12231,0,1.0,11792
marksandspencer,11504,11504,0,1.0,11460
AskPayPal,11298,11298,0,1.0,11270
MicrosoftHelps,11304,11304,0,1.0,11223
AskAmex,11358,11358,0,1.0,11111
Morrisons,10126,10126,0,1.0,10028
AdobeCare,9917,9917,0,1.0,9888
airtel_care,9881,9881,0,1.0,9869
AskeBay,9686,9686,0,1.0,9624
AirbnbHelp,8875,8875,0,1.0,8868
ChaseSupport,8811,8811,0,1.0,8714
McDonalds,8478,8478,0,1.0,8429
JetBlue,8020,8020,0,1.0,7972
AldiUK,8114,8114,0,1.0,7927
CoxHelp,7861,7861,0,1.0,7836
Ask_WellsFargo,7578,7578,0,1.0,7564
AzureSupport,7565,7565,0,1.0,7484
AlaskaAir,7478,7478,0,1.0,7428
HPSupport,7200,7200,0,1.0,7181
LondonMidland,6822,6822,0,1.0,6525
GloCare,6308,6308,0,1.0,6304
DropboxSupport,5954,5954,0,1.0,5941
DellCares,5336,5336,0,1.0,5245
GreggsOfficial,4522,4522,0,1.0,4495
VirginAtlantic,4318,4318,0,1.0,4299
nationalrailenq,4444,4444,0,1.0,4147
TacoBellTeam,4082,4082,0,1.0,4082
AskCiti,4081,4081,0,1.0,4037
AskPapaJohns,3908,3908,0,1.0,3904
CenturyLinkHelp,3801,3801,0,1.0,3797
NikeSupport,3468,3468,0,1.0,3414
Postmates_Help,3346,3346,0,1.0,3344
VirginAmerica,2815,2815,0,1.0,2805
ATT,2790,2790,0,1.0,2719
IHGService,2643,2643,0,1.0,2628
Walmart,2643,2643,0,1.0,2615
TfL,2243,2243,0,1.0,2221
askpanera,2153,2153,0,1.0,2153
KFC_UKI_Help,2103,2103,0,1.0,2101
NortonSupport,2011,2011,0,1.0,1999
GoDaddyHelp,1965,1965,0,1.0,1953
ArbysCares,1904,1904,0,1.0,1904
AsurionCares,1898,1898,0,1.0,1850
DoorDash_Help,1581,1581,0,1.0,1575
sizehelpteam,1482,1482,0,1.0,1475
VMUcare,1381,1381,0,1.0,1352
Kimpton,1339,1339,0,1.0,1283
DunkinDonuts,1290,1290,0,1.0,1278
TwitterSupport,1290,1290,0,1.0,1278
SCsupport,1329,1329,0,1.0,1250
USCellularCares,1177,1177,0,1.0,1177
NeweggService,1079,1079,0,1.0,1067
AWSSupport,1035,1035,0,1.0,1034
PandoraSupport,1043,1043,0,1.0,1022
AskRBC,1011,1011,0,1.0,1011
AskVirginMoney,914,914,0,1.0,908
BoostCare,907,907,0,1.0,905
YahooCare,906,906,0,1.0,876
OPPOCareIN,879,879,0,1.0,869
HiltonHelp,833,833,0,1.0,830
PearsonSupport,841,841,0,1.0,828
GooglePlayMusic,804,804,0,1.0,803
MTNC_Care,784,784,0,1.0,775
AskTigogh,715,715,0,1.0,714
askvisa,709,709,0,1.0,709
asksalesforce,710,710,0,1.0,707
AskSeagate,639,639,0,1.0,639
MOO,630,630,0,1.0,616
ask_progressive,612,612,0,1.0,612
KeyBank_Help,555,555,0,1.0,554
AskRobinhood,432,432,0,1.0,430
mediatemplehelp,305,305,0,1.0,302
JackBox,266,266,0,1.0,255
OfficeSupport,218,218,0,1.0,216
AskDSC,210,210,0,1.0,210
CarlsJr,196,196,0,1.0,183
HotelTonightCX,152,152,0,1.0,152
