brand,raw_interaction_volume,raw_response_coverage,raw_reconstructability,raw_completeness,raw_diversity,norm_interaction_volume,norm_response_coverage,norm_reconstructability,norm_completeness,norm_diversity,sample_size_used
AppleSupport,106719.0,0.9993347014121197,0.9999812467181757,0.9996673507060598,0.9575177036473144,0.552996,1.0,0.992893,1.0,1.0,5000
British_Airways,29315.0,0.9991813064983797,0.9999658598204226,0.9995906532491898,0.9304420369330539,0.0,0.926096,0.987061,0.926096,0.649217,5000
Tesco,38501.0,0.9991948261084128,0.9999480114374838,0.9995974130542065,0.91565201121566,0.065627,0.93261,0.980296,0.93261,0.457603,5000
AmazonHelp,169287.0,0.9972590925469764,0.9999466897282954,0.9986295462734882,0.9101937854701726,1.0,0.0,0.979795,0.0,0.386888,5000
Uber_Support,56261.0,0.9987913474698281,0.999412738241418,0.9993956737349141,0.9204517400713758,0.19251,0.738219,0.777428,0.738219,0.519786,5000
Delta,42197.0,0.9988624783752399,0.9991696125649482,0.9994312391876199,0.9116420787067163,0.092033,0.772489,0.685283,0.772489,0.405651,5000
AmericanAir,36598.0,0.9981692988687907,1.0,0.9990846494343953,0.9386105566239382,0.052032,0.438525,1.0,0.438525,0.755046,5000
SpotifyCares,43243.0,0.9991443701870824,0.9973614775725593,0.9995721850935412,0.9175535351807224,0.099506,0.908301,0.0,0.908301,0.482238,5000
comcastcares,33007.0,0.999030508679977,0.9983623957543594,0.9995152543399886,0.8849640070063876,0.026377,0.853444,0.379348,0.853444,0.060019,5000
TMobileHelp,34287.0,0.9983083967684545,0.9995909900961173,0.9991541983842273,0.880331322395518,0.035521,0.50554,0.844985,0.50554,0.0,5000
