scenario,brand,score,rank
default,AppleSupport,0.864478,1
default,British_Airways,0.618928,2
default,Tesco,0.610801,3
default,AmazonHelp,0.553992,4
default,Uber_Support,0.549584,5
default,Delta,0.495886,6
default,AmericanAir,0.482351,7
default,SpotifyCares,0.420093,8
default,comcastcares,0.391492,9
default,TMobileHelp,0.356592,10
volume_focused,AppleSupport,0.775432,1
volume_focused,AmazonHelp,0.685658,2
volume_focused,Tesco,0.458771,3
volume_focused,Uber_Support,0.449403,4
volume_focused,British_Airways,0.444505,5
volume_focused,Delta,0.382495,6
volume_focused,AmericanAir,0.361152,7
volume_focused,SpotifyCares,0.325052,8
volume_focused,comcastcares,0.289453,9
volume_focused,TMobileHelp,0.270893,10
quality_focused,AppleSupport,0.930817,1
quality_focused,British_Airways,0.763939,2
quality_focused,Tesco,0.745617,3
quality_focused,Uber_Support,0.63536,4
quality_focused,AmericanAir,0.596472,5
quality_focused,Delta,0.589233,6
quality_focused,AmazonHelp,0.501971,7
quality_focused,comcastcares,0.468142,8
quality_focused,TMobileHelp,0.461039,9
quality_focused,SpotifyCares,0.450582,10
