k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,smallest_cluster_size,largest_cluster_size,tiny_cluster_count,selection_notes
4,0.0643903911113739,1407.1899819123123,3.87282027073394,3829,6316,0,"k=4: Sil=0.0644, CH=1407.2, DB=3.8728, min_size=3829, max_size=6316, tiny=0"
5,0.05711334943771362,1258.4904670779888,3.496322854247927,3135,5252,0,"k=5: Sil=0.0571, CH=1258.5, DB=3.4963, min_size=3135, max_size=5252, tiny=0"
6,0.06769315898418427,1203.2970670616744,3.0627326732850713,1967,4743,0,"k=6: Sil=0.0677, CH=1203.3, DB=3.0627, min_size=1967, max_size=4743, tiny=0"
7,0.06769941747188568,1050.0078111947194,3.297850276698245,2196,3554,0,"k=7: Sil=0.0677, CH=1050.0, DB=3.2979, min_size=2196, max_size=3554, tiny=0"
8,0.08145208656787872,977.1493829399984,3.1126507001631936,1227,4311,0,"k=8: Sil=0.0815, CH=977.1, DB=3.1127, min_size=1227, max_size=4311, tiny=0"
9,0.07020771503448486,900.0017072201435,3.161867603551462,1232,3054,0,"k=9: Sil=0.0702, CH=900.0, DB=3.1619, min_size=1232, max_size=3054, tiny=0"
10,0.062484465539455414,847.1990371630294,3.163492204729502,705,2893,0,"k=10: Sil=0.0625, CH=847.2, DB=3.1635, min_size=705, max_size=2893, tiny=0"
11,0.05595649406313896,785.2260337492282,3.1829336942530975,1118,3099,0,"k=11: Sil=0.0560, CH=785.2, DB=3.1829, min_size=1118, max_size=3099, tiny=0"
12,0.06908934563398361,784.4703498175434,2.891881086657826,1114,2776,0,"k=12: Sil=0.0691, CH=784.5, DB=2.8919, min_size=1114, max_size=2776, tiny=0"
13,0.06437323242425919,736.9694659606989,3.091641275006697,671,2356,0,"k=13: Sil=0.0644, CH=737.0, DB=3.0916, min_size=671, max_size=2356, tiny=0"
14,0.07034331560134888,731.6414811049228,2.9569656810274054,510,2130,0,"k=14: Sil=0.0703, CH=731.6, DB=2.9570, min_size=510, max_size=2130, tiny=0"
15,0.07579712569713593,686.3498101913129,2.952922027545773,521,2320,0,"k=15: Sil=0.0758, CH=686.3, DB=2.9529, min_size=521, max_size=2320, tiny=0"
