conversation_id,parent_tweet_id,child_tweet_id,relationship_source,relationship_valid
conv_AppleSupport_700,698,696,both,True
conv_AppleSupport_700,700,698,both,True
conv_AppleSupport_700,696,697,both,True
conv_AppleSupport_700,697,699,both,True
conv_AppleSupport_711,702,701,both,True
conv_AppleSupport_711,703,702,both,True
conv_AppleSupport_711,704,703,both,True
conv_AppleSupport_711,705,704,both,True
conv_AppleSupport_711,707,705,both,True
conv_AppleSupport_711,708,707,both,True
conv_AppleSupport_711,705,706,both,True
conv_AppleSupport_711,709,708,both,True
conv_AppleSupport_711,710,709,both,True
conv_AppleSupport_711,711,710,both,True
conv_AppleSupport_714,714,712,both,True
conv_AppleSupport_714,712,713,both,True
conv_AppleSupport_719,717,716,both,True
conv_AppleSupport_719,718,717,both,True
conv_AppleSupport_719,719,718,both,True
conv_AppleSupport_723,721,720,both,True
conv_AppleSupport_723,722,721,both,True
conv_AppleSupport_723,723,722,both,True
conv_AppleSupport_730,725,724,both,True
conv_AppleSupport_730,727,725,both,True
conv_AppleSupport_730,728,727,both,True
conv_AppleSupport_730,725,726,both,True
conv_AppleSupport_730,729,728,both,True
conv_AppleSupport_730,730,729,both,True
conv_AppleSupport_733,733,732,both,True
conv_AppleSupport_736,736,734,both,True
conv_AppleSupport_736,734,735,both,True
conv_AppleSupport_736,735,737,both,True
conv_AppleSupport_747,740,738,both,True
conv_AppleSupport_747,744,740,both,True
conv_AppleSupport_747,738,739,both,True
conv_AppleSupport_747,745,744,both,True
conv_AppleSupport_747,739,741,both,True
conv_AppleSupport_747,746,745,both,True
conv_AppleSupport_747,741,742,both,True
conv_AppleSupport_747,747,746,both,True
conv_AppleSupport_747,742,743,both,True
conv_AppleSupport_749,749,748,both,True
conv_AppleSupport_752,751,750,both,True
conv_AppleSupport_752,752,751,both,True
conv_AppleSupport_756,754,753,both,True
conv_AppleSupport_756,755,754,both,True
conv_AppleSupport_756,756,755,both,True
conv_AppleSupport_758,758,757,both,True
conv_AppleSupport_765,760,759,both,True
conv_AppleSupport_765,761,760,both,True
conv_AppleSupport_765,763,761,both,True
conv_AppleSupport_765,764,763,both,True
conv_AppleSupport_765,761,762,both,True
conv_AppleSupport_765,765,764,both,True
conv_AppleSupport_767,767,766,both,True
conv_AppleSupport_1755,1755,1754,both,True
conv_AppleSupport_1759,1757,1756,both,True
conv_AppleSupport_1759,1758,1757,both,True
conv_AppleSupport_1759,1759,1758,both,True
conv_AppleSupport_1761,1761,1760,both,True
conv_AppleSupport_1764,1764,1762,both,True
conv_AppleSupport_1764,1762,1763,both,True
conv_AppleSupport_1764,1763,1765,both,True
conv_AppleSupport_1764,1765,1766,both,True
conv_AppleSupport_1770,1768,1767,both,True
conv_AppleSupport_1770,1769,1768,both,True
conv_AppleSupport_1770,1770,1769,both,True
conv_AppleSupport_1779,1773,1771,both,True
conv_AppleSupport_1779,1778,1773,both,True
conv_AppleSupport_1779,1771,1772,both,True
conv_AppleSupport_1779,1779,1778,both,True
conv_AppleSupport_1779,1772,1774,both,True
conv_AppleSupport_1779,1774,1775,both,True
conv_AppleSupport_1779,1774,1776,both,True
conv_AppleSupport_1779,1775,1777,both,True
conv_AppleSupport_1781,1781,1780,both,True
conv_AppleSupport_1783,1783,1782,both,True
conv_AppleSupport_1785,1785,1784,both,True
conv_AppleSupport_1791,1787,1786,both,True
conv_AppleSupport_1791,1788,1787,both,True
conv_AppleSupport_1791,1789,1788,both,True
conv_AppleSupport_1791,1790,1789,both,True
conv_AppleSupport_1791,1791,1790,both,True
conv_AppleSupport_2613,2610,2609,both,True
conv_AppleSupport_2613,2611,2610,both,True
conv_AppleSupport_2613,2613,2611,both,True
conv_AppleSupport_2613,2611,2612,both,True
conv_AppleSupport_2616,2616,2614,both,True
conv_AppleSupport_2616,2614,2615,both,True
conv_AppleSupport_2616,2615,2617,both,True
conv_AppleSupport_2620,2620,2618,both,True
conv_AppleSupport_2620,2618,2619,both,True
conv_AppleSupport_2620,2619,2621,both,True
conv_AppleSupport_2624,2624,2622,both,True
conv_AppleSupport_2624,2622,2623,both,True
conv_AppleSupport_2624,2624,2625,both,True
conv_AppleSupport_2624,2625,9166,both,True
conv_AppleSupport_2624,2625,9167,both,True
conv_AppleSupport_2624,9167,1981128,both,True
conv_AppleSupport_2628,2628,2626,both,True
conv_AppleSupport_2628,2626,2627,both,True
conv_AppleSupport_2628,2627,2629,both,True
conv_AppleSupport_2632,2632,2630,both,True
conv_AppleSupport_2632,2630,2631,both,True
conv_AppleSupport_2632,2631,2633,both,True
conv_AppleSupport_2635,2635,2634,both,True
conv_AppleSupport_2640,2638,2636,both,True
conv_AppleSupport_2640,2640,2638,both,True
conv_AppleSupport_2640,2636,2637,both,True
conv_AppleSupport_2640,2637,2639,both,True
conv_AppleSupport_2642,2642,2641,both,True
conv_AppleSupport_2645,2645,2643,both,True
conv_AppleSupport_2645,2643,2644,both,True
conv_AppleSupport_2645,2644,2646,both,True
conv_AppleSupport_2648,2648,2647,both,True
conv_AppleSupport_2650,2650,2649,both,True
conv_AppleSupport_2656,2652,2651,both,True
conv_AppleSupport_2656,2653,2652,both,True
conv_AppleSupport_2656,2654,2653,both,True
conv_AppleSupport_2656,2655,2654,both,True
conv_AppleSupport_2656,2656,2655,both,True
conv_AppleSupport_2659,2659,2658,both,True
conv_AppleSupport_2659,2659,2660,both,True
conv_AppleSupport_2659,2660,56440,both,True
conv_AppleSupport_2662,2662,2661,both,True
conv_AppleSupport_2666,2666,2664,both,True
conv_AppleSupport_2666,2664,2665,both,True
conv_AppleSupport_2666,2665,2667,both,True
conv_AppleSupport_2676,2671,2669,both,True
conv_AppleSupport_2676,2672,2671,both,True
conv_AppleSupport_2676,2669,2670,both,True
conv_AppleSupport_2676,2673,2672,both,True
conv_AppleSupport_2676,2674,2673,both,True
conv_AppleSupport_2676,2675,2674,both,True
conv_AppleSupport_2676,2676,2675,both,True
conv_AppleSupport_2678,2678,2677,both,True
conv_AppleSupport_2682,2680,2679,both,True
conv_AppleSupport_2682,2681,2680,both,True
conv_AppleSupport_2682,2682,2681,both,True
conv_AppleSupport_2684,2684,2683,both,True
conv_AppleSupport_3761,3761,3760,both,True
conv_AppleSupport_3764,3764,3762,both,True
conv_AppleSupport_3764,3762,3763,both,True
conv_AppleSupport_3764,3763,3765,both,True
conv_AppleSupport_3767,3767,3766,both,True
conv_AppleSupport_3770,3770,3768,both,True
conv_AppleSupport_3770,3768,3769,both,True
conv_AppleSupport_3770,3769,3771,both,True
conv_AppleSupport_3773,3773,3772,both,True
conv_AppleSupport_3777,3777,3775,both,True
conv_AppleSupport_3777,3775,3776,both,True
conv_AppleSupport_3777,3776,3778,both,True
conv_AppleSupport_4871,4871,4869,both,True
conv_AppleSupport_4871,4869,4870,both,True
conv_AppleSupport_4871,4870,4872,both,True
conv_AppleSupport_4875,4875,4873,both,True
conv_AppleSupport_4875,4873,4874,both,True
conv_AppleSupport_4879,4877,4876,both,True
conv_AppleSupport_4879,4878,4877,both,True
conv_AppleSupport_4879,4879,4878,both,True
conv_AppleSupport_4882,4882,4880,both,True
conv_AppleSupport_4882,4880,4881,both,True
conv_AppleSupport_4882,4881,4883,both,True
conv_AppleSupport_4882,4883,4884,both,True
conv_AppleSupport_4882,4883,4885,both,True
conv_AppleSupport_4882,4884,4886,both,True
conv_AppleSupport_4890,4890,4887,both,True
conv_AppleSupport_4890,4887,4888,both,True
conv_AppleSupport_4890,4887,4889,both,True
conv_AppleSupport_4890,4889,4891,both,True
conv_AppleSupport_4893,4893,4892,both,True
conv_AppleSupport_4896,4896,4894,both,True
conv_AppleSupport_4896,4894,4895,both,True
conv_AppleSupport_4896,4895,4897,both,True
conv_AppleSupport_4896,4897,4898,both,True
conv_AppleSupport_4901,4901,4899,both,True
conv_AppleSupport_4901,4899,4900,both,True
conv_AppleSupport_4901,4900,4902,both,True
conv_AppleSupport_4906,4906,4904,both,True
conv_AppleSupport_4906,4904,4905,both,True
conv_AppleSupport_4906,4905,4907,both,True
conv_AppleSupport_4909,4909,4908,both,True
conv_AppleSupport_4912,4912,4910,both,True
conv_AppleSupport_4912,4910,4911,both,True
conv_AppleSupport_4912,4912,4913,both,True
conv_AppleSupport_4912,4913,1990792,both,True
conv_AppleSupport_4915,4915,4914,both,True
conv_AppleSupport_4917,4917,4916,both,True
conv_AppleSupport_5808,5808,5807,both,True
conv_AppleSupport_5812,5810,5809,both,True
conv_AppleSupport_5812,5811,5810,both,True
conv_AppleSupport_5812,5812,5811,both,True
conv_AppleSupport_5816,5814,5813,both,True
conv_AppleSupport_5816,5815,5814,both,True
conv_AppleSupport_5816,5816,5815,both,True
conv_AppleSupport_5819,5819,5817,both,True
conv_AppleSupport_5819,5817,5818,both,True
conv_AppleSupport_5821,5821,5820,both,True
conv_AppleSupport_5823,5823,5822,both,True
conv_AppleSupport_5825,5825,5824,both,True
conv_AppleSupport_5829,5829,5827,both,True
conv_AppleSupport_5829,5827,5828,both,True
conv_AppleSupport_5833,5831,5830,both,True
conv_AppleSupport_5833,5832,5831,both,True
conv_AppleSupport_5833,5833,5832,both,True
conv_AppleSupport_5835,5835,5834,both,True
conv_AppleSupport_5839,5839,5836,both,True
conv_AppleSupport_5839,5836,5837,both,True
conv_AppleSupport_5839,5836,5838,both,True
conv_AppleSupport_5839,5837,5840,both,True
conv_AppleSupport_5839,5840,5841,both,True
conv_AppleSupport_5839,5841,5842,both,True
conv_AppleSupport_5845,5845,5843,both,True
conv_AppleSupport_5845,5843,5844,both,True
conv_AppleSupport_5845,5844,5846,both,True
conv_AppleSupport_5849,5849,5847,both,True
conv_AppleSupport_5849,5847,5848,both,True
conv_AppleSupport_5849,5848,5850,both,True
conv_AppleSupport_5853,5853,5852,both,True
conv_AppleSupport_6483,6483,6482,both,True
conv_AppleSupport_6554,6554,6553,both,True
conv_AppleSupport_6608,6608,6607,both,True
conv_AppleSupport_6658,6657,6656,both,True
conv_AppleSupport_6658,6658,6657,both,True
conv_AppleSupport_6658,6658,6663,both,True
conv_AppleSupport_6658,6658,6662,both,True
conv_AppleSupport_6658,6658,6670,both,True
conv_AppleSupport_6658,6658,6690,both,True
conv_AppleSupport_6658,6658,6702,both,True
conv_AppleSupport_6658,6658,6697,both,True
conv_AppleSupport_6658,6658,6815,both,True
conv_AppleSupport_6658,6658,6720,both,True
conv_AppleSupport_6658,6658,6725,both,True
conv_AppleSupport_6658,6658,6734,both,True
conv_AppleSupport_6658,6658,6716,both,True
conv_AppleSupport_6658,6658,6823,both,True
conv_AppleSupport_6658,6658,6858,both,True
conv_AppleSupport_6658,6658,6752,both,True
conv_AppleSupport_6658,6658,6755,both,True
conv_AppleSupport_6658,6658,6759,both,True
conv_AppleSupport_6658,6658,6892,both,True
conv_AppleSupport_6658,6658,6773,both,True
conv_AppleSupport_6658,6658,6769,both,True
conv_AppleSupport_6658,6658,6779,both,True
conv_AppleSupport_6658,6658,6874,both,True
conv_AppleSupport_6658,6658,6791,both,True
conv_AppleSupport_6658,6658,6794,both,True
conv_AppleSupport_6658,6658,6746,both,True
conv_AppleSupport_6658,6658,6797,both,True
conv_AppleSupport_6658,6658,6799,both,True
conv_AppleSupport_6658,6658,6893,both,True
conv_AppleSupport_6658,6658,6808,both,True
conv_AppleSupport_6658,6658,6849,both,True
conv_AppleSupport_6658,6658,6668,both,True
conv_AppleSupport_6658,6658,6852,both,True
conv_AppleSupport_6658,6658,6698,both,True
conv_AppleSupport_6658,6658,6700,both,True
conv_AppleSupport_6658,6658,6859,both,True
conv_AppleSupport_6658,6658,6816,both,True
conv_AppleSupport_6658,6658,6737,both,True
conv_AppleSupport_6658,6658,6753,both,True
conv_AppleSupport_6658,6658,6766,both,True
conv_AppleSupport_6658,6658,6771,both,True
conv_AppleSupport_6658,6658,6778,both,True
conv_AppleSupport_6658,6658,6869,both,True
conv_AppleSupport_6658,6658,6784,both,True
conv_AppleSupport_6658,6658,6789,both,True
conv_AppleSupport_6658,6658,6787,both,True
conv_AppleSupport_6658,6658,6832,both,True
conv_AppleSupport_6658,6658,6839,both,True
conv_AppleSupport_6658,6658,6896,both,True
conv_AppleSupport_6658,6658,6669,both,True
conv_AppleSupport_6658,6658,6688,both,True
conv_AppleSupport_6658,6658,6855,both,True
conv_AppleSupport_6658,6658,6813,both,True
conv_AppleSupport_6658,6658,6860,both,True
conv_AppleSupport_6658,6658,6861,both,True
conv_AppleSupport_6658,6658,6828,both,True
conv_AppleSupport_6658,6658,6761,both,True
conv_AppleSupport_6658,6658,6767,both,True
conv_AppleSupport_6658,6658,6772,both,True
conv_AppleSupport_6658,6658,6770,both,True
conv_AppleSupport_6658,6658,6831,both,True
conv_AppleSupport_6658,6658,6790,both,True
conv_AppleSupport_6658,6658,6730,both,True
conv_AppleSupport_6658,6658,6887,both,True
conv_AppleSupport_6658,6658,6889,both,True
conv_AppleSupport_6658,6658,6833,both,True
conv_AppleSupport_6658,6658,6798,both,True
conv_AppleSupport_6658,6658,6809,both,True
conv_AppleSupport_6658,6658,6829,both,True
conv_AppleSupport_6658,6658,6897,both,True
conv_AppleSupport_6658,6658,6804,both,True
conv_AppleSupport_6658,6663,255540,both,True
conv_AppleSupport_6658,6662,255549,both,True
conv_AppleSupport_6658,6662,255554,both,True
conv_AppleSupport_6658,6670,255818,both,True
conv_AppleSupport_6658,6690,259960,both,True
conv_AppleSupport_6658,6702,260003,both,True
conv_AppleSupport_6658,6697,261312,both,True
conv_AppleSupport_6658,6815,269177,both,True
conv_AppleSupport_6658,6720,270315,both,True
conv_AppleSupport_6658,6725,272490,both,True
conv_AppleSupport_6658,6734,284871,both,True
conv_AppleSupport_6658,6716,284939,both,True
conv_AppleSupport_6658,6823,285219,both,True
conv_AppleSupport_6658,6858,288334,both,True
conv_AppleSupport_6658,6752,291418,both,True
conv_AppleSupport_6658,6755,291802,both,True
conv_AppleSupport_6658,6759,296794,both,True
conv_AppleSupport_6658,6892,301119,both,True
conv_AppleSupport_6658,6773,306638,both,True
conv_AppleSupport_6658,6769,311339,both,True
conv_AppleSupport_6658,6779,313312,both,True
conv_AppleSupport_6658,6874,323452,both,True
conv_AppleSupport_6658,6791,325924,both,True
conv_AppleSupport_6658,6794,326745,both,True
conv_AppleSupport_6658,6746,326753,both,True
conv_AppleSupport_6658,6797,327618,both,True
conv_AppleSupport_6658,6799,332834,both,True
conv_AppleSupport_6658,6799,332837,both,True
conv_AppleSupport_6658,6893,375303,both,True
conv_AppleSupport_6658,6808,426171,both,True
conv_AppleSupport_6658,6849,427846,both,True
conv_AppleSupport_6658,6668,684387,both,True
conv_AppleSupport_6658,6852,684589,both,True
conv_AppleSupport_6658,6698,688384,both,True
conv_AppleSupport_6658,6700,694201,both,True
conv_AppleSupport_6658,6859,697546,both,True
conv_AppleSupport_6658,6816,704114,both,True
conv_AppleSupport_6658,6737,718507,both,True
conv_AppleSupport_6658,6753,724009,both,True
conv_AppleSupport_6658,6766,739408,both,True
conv_AppleSupport_6658,6771,740581,both,True
conv_AppleSupport_6658,6778,753257,both,True
conv_AppleSupport_6658,6869,764676,both,True
conv_AppleSupport_6658,6784,766191,both,True
conv_AppleSupport_6658,6789,768152,both,True
conv_AppleSupport_6658,6787,768185,both,True
conv_AppleSupport_6658,6832,825662,both,True
conv_AppleSupport_6658,6839,862654,both,True
conv_AppleSupport_6658,6896,1953867,both,True
conv_AppleSupport_6658,6669,2050587,both,True
conv_AppleSupport_6658,6688,2051229,both,True
conv_AppleSupport_6658,6855,2051592,both,True
conv_AppleSupport_6658,6813,2052024,both,True
conv_AppleSupport_6658,6860,2052602,both,True
conv_AppleSupport_6658,6861,2052629,both,True
conv_AppleSupport_6658,6828,2056033,both,True
conv_AppleSupport_6658,6761,2056491,both,True
conv_AppleSupport_6658,6767,2056914,both,True
conv_AppleSupport_6658,6772,2057070,both,True
conv_AppleSupport_6658,6770,2057182,both,True
conv_AppleSupport_6658,6831,2057569,both,True
conv_AppleSupport_6658,6790,2060402,both,True
conv_AppleSupport_6658,6730,2061730,both,True
conv_AppleSupport_6658,6887,2062731,both,True
conv_AppleSupport_6658,6889,2062957,both,True
conv_AppleSupport_6658,6833,2070052,both,True
conv_AppleSupport_6658,6798,2071970,both,True
conv_AppleSupport_6658,6809,2095362,both,True
conv_AppleSupport_6658,6829,2512773,both,True
conv_AppleSupport_6658,6897,2548646,both,True
conv_AppleSupport_6658,6804,2657447,both,True
conv_AppleSupport_6658,255549,255550,both,True
conv_AppleSupport_6658,255549,255551,both,True
conv_AppleSupport_6658,255554,303111,both,True
conv_AppleSupport_6658,255818,255819,both,True
conv_AppleSupport_6658,259960,259961,both,True
conv_AppleSupport_6658,260003,260004,both,True
conv_AppleSupport_6658,260003,260005,both,True
conv_AppleSupport_6658,284871,284872,both,True
conv_AppleSupport_6658,284871,284873,both,True
conv_AppleSupport_6658,284939,284938,both,True
conv_AppleSupport_6658,288334,288335,both,True
conv_AppleSupport_6658,296794,296795,both,True
conv_AppleSupport_6658,296794,296796,both,True
conv_AppleSupport_6658,296794,296797,both,True
conv_AppleSupport_6658,301119,301117,both,True
conv_AppleSupport_6658,311339,311338,both,True
conv_AppleSupport_6658,325924,325925,both,True
