conversation_id,message_count,thread_type,has_branching,has_anomalies,quality_status
conv_AppleSupport_700,5,multi_turn,False,False,high
conv_AppleSupport_711,11,branched,True,False,high
conv_AppleSupport_714,3,customer_brand_customer,False,True,medium
conv_AppleSupport_719,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_723,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_730,7,branched,True,True,medium
conv_AppleSupport_733,2,customer_brand,False,False,high
conv_AppleSupport_736,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_747,10,multi_turn,False,False,high
conv_AppleSupport_749,2,customer_brand,False,False,high
conv_AppleSupport_752,3,multi_turn,False,False,high
conv_AppleSupport_756,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_758,2,customer_brand,False,False,high
conv_AppleSupport_765,7,branched,True,False,high
conv_AppleSupport_767,2,customer_brand,False,False,high
conv_AppleSupport_1755,2,customer_brand,False,False,high
conv_AppleSupport_1759,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_1761,2,customer_brand,False,False,high
conv_AppleSupport_1764,5,multi_turn,False,False,high
conv_AppleSupport_1770,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_1779,9,branched,True,False,high
conv_AppleSupport_1781,2,customer_brand,False,False,high
conv_AppleSupport_1783,2,customer_brand,False,False,high
conv_AppleSupport_1785,2,customer_brand,False,False,high
conv_AppleSupport_1791,6,multi_turn,False,False,high
conv_AppleSupport_2613,5,branched,True,False,high
conv_AppleSupport_2616,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2620,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2624,7,branched,True,False,high
conv_AppleSupport_2628,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2632,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2635,2,customer_brand,False,False,high
conv_AppleSupport_2640,5,multi_turn,False,False,high
conv_AppleSupport_2642,2,customer_brand,False,False,high
conv_AppleSupport_2645,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2648,2,customer_brand,False,False,high
conv_AppleSupport_2650,2,customer_brand,False,False,high
conv_AppleSupport_2656,6,multi_turn,False,True,medium
conv_AppleSupport_2659,4,branched,True,False,high
conv_AppleSupport_2662,2,customer_brand,False,True,medium
conv_AppleSupport_2666,4,customer_brand_customer_brand,False,True,medium
conv_AppleSupport_2676,8,multi_turn,False,False,high
conv_AppleSupport_2678,2,customer_brand,False,False,high
conv_AppleSupport_2682,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2684,2,customer_brand,False,False,high
conv_AppleSupport_3761,2,customer_brand,False,False,high
conv_AppleSupport_3764,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_3767,2,customer_brand,False,False,high
conv_AppleSupport_3770,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_3773,2,customer_brand,False,True,medium
conv_AppleSupport_3777,4,incomplete,False,True,low
conv_AppleSupport_4871,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_4875,3,customer_brand_customer,False,False,high
conv_AppleSupport_4879,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_4882,7,branched,True,False,high
conv_AppleSupport_4890,5,branched,True,False,high
